SWC_F_MDS_1,is_leap_year,Month,Year,Day,Percentile,flashdrought,FD_Period,slowdrought,SD_Period,date
29.0084,False,11,2005,7,33.33333333333333,,,33.33333333333333,onset,2005-11-07
28.895799999999998,False,11,2005,12,22.22222222222222,,,22.22222222222222,onset,2005-11-12
28.0,False,11,2005,17,16.666666666666664,,,16.666666666666664,onset,2005-11-17
27.7834,False,11,2005,22,16.666666666666664,,,16.666666666666664,onset,2005-11-22
28.925,False,11,2005,27,16.666666666666664,,,16.666666666666664,onset,2005-11-27
27.354200000000002,False,12,2005,2,16.666666666666664,,,16.666666666666664,onset,2005-12-02
27.229200000000002,False,12,2005,7,16.666666666666664,,,16.666666666666664,onset,2005-12-07
29.5876,False,12,2005,12,16.666666666666664,,,16.666666666666664,onset,2005-12-12
27.175,False,12,2005,17,16.666666666666664,,,16.666666666666664,onset,2005-12-17
30.2334,False,12,2005,22,16.666666666666664,,,16.666666666666664,onset,2005-12-22
28.2166,False,12,2005,27,16.666666666666664,,,16.666666666666664,onset,2005-12-27
28.437400000000004,False,1,2006,1,18.181818181818183,,,18.181818181818183,onset,2006-01-01
29.020799999999998,False,1,2006,6,17.647058823529413,,,17.647058823529413,onset,2006-01-06
28.5374,False,1,2006,11,17.647058823529413,,,17.647058823529413,onset,2006-01-11
27.795799999999996,False,1,2006,16,11.76470588235294,,,11.76470588235294,onset,2006-01-16
27.775,False,1,2006,21,5.88235294117647,,,5.88235294117647,onset,2006-01-21
30.620799999999996,False,1,2006,26,11.76470588235294,,,11.76470588235294,recovery,2006-01-26
27.65,False,1,2006,31,5.88235294117647,,,5.88235294117647,recovery,2006-01-31
26.995799999999996,False,2,2006,5,5.88235294117647,,,5.88235294117647,recovery,2006-02-05
26.925,False,2,2006,10,5.88235294117647,,,5.88235294117647,recovery,2006-02-10
26.454200000000004,False,2,2006,15,5.88235294117647,,,5.88235294117647,recovery,2006-02-15
26.2582,False,2,2006,20,5.88235294117647,,,5.88235294117647,recovery,2006-02-20
26.587200000000003,False,2,2006,25,5.88235294117647,,,5.88235294117647,recovery,2006-02-25
26.458199999999998,False,3,2006,2,5.88235294117647,,,5.88235294117647,recovery,2006-03-02
29.6332,False,3,2006,7,5.88235294117647,,,5.88235294117647,recovery,2006-03-07
29.2374,False,3,2006,12,5.88235294117647,,,5.88235294117647,recovery,2006-03-12
29.5876,False,3,2006,17,5.88235294117647,,,5.88235294117647,recovery,2006-03-17
27.6166,False,3,2006,22,5.88235294117647,,,5.88235294117647,recovery,2006-03-22
29.425,False,3,2006,27,5.88235294117647,,,5.88235294117647,recovery,2006-03-27
29.1334,False,4,2006,1,5.88235294117647,,,5.88235294117647,recovery,2006-04-01
28.8916,False,4,2006,6,5.88235294117647,,,5.88235294117647,recovery,2006-04-06
28.729200000000002,False,4,2006,11,5.88235294117647,,,5.88235294117647,recovery,2006-04-11
28.0166,False,4,2006,16,5.88235294117647,,,5.88235294117647,recovery,2006-04-16
28.320800000000002,False,4,2006,21,5.88235294117647,,,5.88235294117647,recovery,2006-04-21
29.7418,False,4,2006,26,11.76470588235294,,,11.76470588235294,recovery,2006-04-26
29.9,False,5,2006,1,11.76470588235294,,,11.76470588235294,recovery,2006-05-01
27.45,False,5,2006,6,11.76470588235294,,,11.76470588235294,recovery,2006-05-06
24.6874,False,5,2006,11,11.76470588235294,,,11.76470588235294,recovery,2006-05-11
22.0292,False,5,2006,16,11.76470588235294,,,11.76470588235294,recovery,2006-05-16
18.7334,False,5,2006,21,5.88235294117647,,,5.88235294117647,recovery,2006-05-21
17.0084,False,5,2006,26,5.88235294117647,,,5.88235294117647,recovery,2006-05-26
27.3956,False,5,2006,31,22.22222222222222,,,22.22222222222222,recovery,2006-05-31
21.3208,False,6,2006,5,16.666666666666664,,,,after,2006-06-05
26.8248,False,6,2006,10,22.22222222222222,,,,,2006-06-10
30.370600000000003,False,6,2006,15,44.44444444444444,,before,,,2006-06-15
31.041800000000002,False,6,2006,20,38.88888888888889,38.88888888888889,onset,,,2006-06-20
27.029200000000003,False,6,2006,25,27.77777777777778,27.77777777777778,onset,,,2006-06-25
23.1958,False,6,2006,30,22.22222222222222,22.22222222222222,onset,,,2006-06-30
20.95,False,7,2006,5,16.666666666666664,16.666666666666664,onset,,,2006-07-05
30.179199999999998,False,7,2006,10,55.55555555555556,55.55555555555556,before,,,2006-07-10
24.1292,False,7,2006,15,33.33333333333333,33.33333333333333,onset,,,2006-07-15
19.104,False,7,2006,20,16.666666666666664,16.666666666666664,onset,,,2006-07-20
18.0916,False,7,2006,25,11.11111111111111,11.11111111111111,onset,,,2006-07-25
18.529,False,7,2006,30,16.666666666666664,16.666666666666664,recovery,,,2006-07-30
22.85,False,8,2006,4,27.77777777777778,27.77777777777778,recovery,,,2006-08-04
29.2582,False,8,2006,9,61.111111111111114,,after,,,2006-08-09
22.1458,False,8,2006,14,27.77777777777778,,,,,2006-08-14
19.704,False,8,2006,19,11.11111111111111,,,,,2006-08-19
30.412599999999998,False,8,2006,24,55.55555555555556,,,,,2006-08-24
30.162600000000005,False,8,2006,29,77.77777777777779,,,,,2006-08-29
22.45,False,9,2006,3,27.77777777777778,,,,,2006-09-03
26.970799999999997,False,9,2006,8,50.0,,,,,2006-09-08
33.3874,False,9,2006,13,72.22222222222221,,,,,2006-09-13
27.2246,False,9,2006,18,55.55555555555556,,before,,,2006-09-18
21.212600000000002,False,9,2006,23,22.22222222222222,22.22222222222222,onset,,,2006-09-23
19.0292,False,9,2006,28,11.11111111111111,11.11111111111111,onset,,,2006-09-28
17.9334,False,10,2006,3,11.11111111111111,11.11111111111111,recovery,,,2006-10-03
21.1582,False,10,2006,8,27.77777777777778,27.77777777777778,recovery,,,2006-10-08
25.945600000000002,False,10,2006,13,38.88888888888889,,after,,,2006-10-13
30.4334,False,10,2006,18,55.55555555555556,,,,,2006-10-18
34.212599999999995,False,10,2006,23,72.22222222222221,,,,,2006-10-23
37.7584,False,10,2006,28,77.77777777777779,,,,,2006-10-28
36.3418,False,11,2006,2,66.66666666666666,,,,,2006-11-02
37.354200000000006,False,11,2006,7,72.22222222222221,,,,,2006-11-07
39.0668,False,11,2006,12,88.88888888888889,,,,,2006-11-12
37.020799999999994,False,11,2006,17,66.66666666666666,,,,,2006-11-17
37.0168,False,11,2006,22,44.44444444444444,,,,,2006-11-22
38.1084,False,11,2006,27,50.0,,,,,2006-11-27
39.5582,False,12,2006,2,72.22222222222221,,,,,2006-12-02
40.120799999999996,False,12,2006,7,77.77777777777779,,,,,2006-12-07
39.1168,False,12,2006,12,72.22222222222221,,,,,2006-12-12
39.412400000000005,False,12,2006,17,66.66666666666666,,,,,2006-12-17
38.5834,False,12,2006,22,55.55555555555556,,,,,2006-12-22
38.9834,False,12,2006,27,55.55555555555556,,,,,2006-12-27
39.0084,False,1,2007,1,45.45454545454545,,,,,2007-01-01
